"timestamp","adult_ticket_count","adult_door_count","child_ticket_count","child_door_count","adult_ticket_price","adult_door_price","child_ticket_price","child_door_price","total_visitors","total_sales"
"2026-02-27 12:47:35","0","6","0","0","8.00","10.00","5.00","6.00","6","60.00"
"2026-02-27 12:47:36","0","1","0","0","8.00","10.00","5.00","6.00","1","10.00"
"2026-02-27 12:47:38","0","4","0","0","8.00","10.00","5.00","6.00","4","40.00"
"2026-02-27 12:47:40","0","3","0","0","8.00","10.00","5.00","6.00","3","30.00"
"2026-02-27 12:47:42","0","4","0","0","8.00","10.00","5.00","6.00","4","40.00"
"2026-02-27 12:50:42","2","0","0","0","8.00","10.00","5.00","6.00","2","0.00"
"2026-02-27 12:50:44","6","0","0","0","8.00","10.00","5.00","6.00","6","0.00"
"2026-02-27T17:12:21","0","1","0","0","8.00","10.00","5.00","6.00","1","10.00"
"2026-02-27T17:14:08","1","0","0","0","8.00","10.00","5.00","6.00","1","0.00"
"2026-02-27T17:15:06","1","1","2","2","8.00","10.00","5.00","6.00","6","22.00"
"2026-02-27T17:16:00","1","0","0","1","8.00","10.00","5.00","6.00","2","6.00"
"2026-02-27T17:25:32","2","3","2","2","8.00","10.00","5.00","6.00","9","42.00"
"2026-02-27 12:15:13","0","2","1","1","8.00","10.00","5.00","6.00","4","26.00"
"2026-02-27 12:24:41","0","1","0","0","8.00","10.00","5.00","6.00","1","10.00"
"2026-02-27 12:25:17","1","0","0","0","8.00","10.00","5.00","6.00","1","0.00"
"2026-02-27 12:25:30","2","1","4","6","8.00","10.00","5.00","6.00","13","46.00"
"2026-02-27 12:36:44","2","7","0","0","8.00","10.00","5.00","6.00","9","70.00"
"2026-02-27 12:36:46","0","1","0","2","8.00","10.00","5.00","6.00","3","22.00"
"2026-02-27 12:36:47","0","0","0","1","8.00","10.00","5.00","6.00","1","6.00"
"2026-02-27 12:36:48","0","0","0","1","8.00","10.00","5.00","6.00","1","6.00"
"2026-02-27 12:36:49","0","0","1","0","8.00","10.00","5.00","6.00","1","0.00"
"2026-02-27 12:36:51","1","3","1","0","8.00","10.00","5.00","6.00","5","30.00"
"2026-02-27 12:36:54","1","1","0","3","8.00","10.00","5.00","6.00","5","28.00"
"2026-02-27 12:36:55","0","0","1","1","8.00","10.00","5.00","6.00","2","6.00"
"2026-02-27 12:36:57","0","0","0","4","8.00","10.00","5.00","6.00","4","24.00"
"2026-02-27 12:36:59","0","0","4","1","8.00","10.00","5.00","6.00","5","6.00"
"2026-02-27 12:37:00","0","1","0","0","8.00","10.00","5.00","6.00","1","10.00"
"2026-02-27 12:37:03","3","0","0","1","8.00","10.00","5.00","6.00","4","6.00"
"2026-02-27 12:37:05","0","3","0","0","8.00","10.00","5.00","6.00","3","30.00"
"2026-02-27 12:37:05","0","0","0","1","8.00","10.00","5.00","6.00","1","6.00"
"2026-02-27 12:37:06","0","0","0","1","8.00","10.00","5.00","6.00","1","6.00"
"2026-02-27 12:37:07","0","0","0","1","8.00","10.00","5.00","6.00","1","6.00"
"2026-02-27 12:37:09","1","0","1","0","8.00","10.00","5.00","6.00","2","0.00"
"2026-02-27 12:37:11","1","2","0","0","8.00","10.00","5.00","6.00","3","20.00"
"2026-02-27 12:37:14","1","3","1","1","8.00","10.00","5.00","6.00","6","36.00"
"2026-02-27 12:37:16","0","5","0","0","8.00","10.00","5.00","6.00","5","50.00"
"2026-02-27 12:37:17","0","0","0","1","8.00","10.00","5.00","6.00","1","6.00"
"2026-02-27 12:37:18","1","0","0","0","8.00","10.00","5.00","6.00","1","0.00"
"2026-02-27 12:37:20","0","0","4","0","8.00","10.00","5.00","6.00","4","0.00"
"2026-02-27 12:37:24","6","5","0","0","8.00","10.00","5.00","6.00","11","50.00"
"2026-02-27 12:52:01","0","1","0","0","8.00","10.00","5.00","6.00","1","10.00"
